S100	S103	S115	S120
45	2	133	2
102	2	39	2
2	2	90	2
2	40	2	47
2	2	2	84
78	2	2	2
2	2	73	2
40	2	32	2
2	71	2	2
70	2	2	2
69	2	2	2
67	2	2	2
65	2	2	2
2	2	63	2
2	2	61	2
2	2	61	2
2	55	2	2
2	2	53	2
2	2	2	53
22	2	28	2
2	2	2	49
44	2	2	2
2	2	44	2
2	43	2	2
2	2	40	2
2	2	2	40
2	2	39	2
2	2	2	39
38	2	2	2
2	38	2	2
37	2	2	2
35	2	2	2
2	34	2	2
2	2	2	34
2	33	2	2
2	2	33	2
2	2	32	2
2	2	2	32
31	2	2	2
2	30	2	2
2	29	2	2
2	2	29	2
28	2	2	2
2	2	2	28
2	2	2	28
27	2	2	2
27	2	2	2
2	2	2	27
2	26	2	2
2	2	2	26
2	25	2	2
2	25	2	2
2	25	2	2
2	2	25	2
2	2	25	2
2	2	2	25
2	24	2	2
2	24	2	2
23	2	2	2
2	23	2	2
22	2	2	2
2	22	2	2
2	12	2	10
2	22	2	2
2	22	2	2
21	2	2	2
21	2	2	2
2	21	2	2
2	21	2	2
2	2	2	21
2	2	2	21
2	20	2	2
2	20	2	2
2	2	20	2
2	2	2	20
2	2	2	20
19	2	2	2
19	2	2	2
2	19	2	2
2	2	19	2
2	2	19	2
2	2	19	2
2	2	2	19
2	2	2	19
2	18	2	2
2	2	18	2
2	17	2	2
2	17	2	2
2	16	2	2
2	2	16	2
2	2	16	2
2	2	2	16
2	2	2	16
2	2	2	15
2	2	2	15
2	14	2	2
2	2	14	2
2	2	14	2
2	2	13	2
2	2	2	13
2	2	2	13
2	12	2	2
2	12	2	2
2	2	12	2
2	2	12	2
2	2	2	12
11	2	2	2
2	11	2	2
2	2	11	2
2	2	11	2
2	2	11	2
2	2	2	11
2	2	2	11
10	2	2	2
2	10	2	2
2	2	10	2
2	2	10	2
2	2	10	2
2	2	10	2
2	2	10	2
9	2	2	2
9	2	2	2
2	9	2	2
2	9	2	2
2	2	9	2
2	2	9	2
2	2	2	9
2	2	2	9
2	2	2	9
2	2	2	9
8	2	2	2
2	2	8	2
2	2	2	8
7	2	2	2
7	2	2	2
7	2	2	2
2	7	2	2
2	2	7	2
2	2	2	7
2	2	2	7
2	2	2	7
6	2	2	2
6	2	2	2
6	2	2	2
2	6	2	2
2	6	2	2
2	6	2	2
2	6	2	2
2	2	6	2
2	2	2	6
2	2	2	6
2	2	2	6
5	2	2	2
5	2	2	2
5	2	2	2
2	5	2	2
2	5	2	2
2	5	2	2
2	2	5	2
2	2	5	2
2	2	2	5
2	2	2	5
2	2	2	5
2	2	2	5
2	2	2	5
4	2	2	2
4	2	2	2
2	4	2	2
2	4	2	2
2	2	4	2
2	2	4	2
2	2	4	2
2	2	4	2
2	2	4	2
2	2	4	2
2	2	4	2
2	2	4	2
2	2	2	4
2	2	2	4
3	2	2	2
3	2	2	2
3	2	2	2
3	2	2	2
3	2	2	2
3	2	2	2
3	2	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	3	2	2
2	2	3	2
2	2	3	2
2	2	3	2
2	2	3	2
2	2	3	2
2	2	3	2
2	2	3	2
2	2	3	2
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	3
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
